1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	165.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	204.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	160.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	158.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00	160.00
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	202.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00	204.00
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	163.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00	165.00
0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	156.00	154.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00	156.00
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	162.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	167.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	206.00	202.00	206.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00	202.00
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	129.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	167.00	163.00	167.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00	163.00
0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	154.00	154.00	152.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	158.00	154.00	158.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00	154.00
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	160.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00	162.00
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	156.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00	158.00
